name,years_in_lab,current_pos,category
Christopher Dickman,2008 - 2009,"Graduate Student, Dept of Biology, University of Western Ontario, Canada",undergrads
"Diane Di Wu, PhD",2006,"Data Scientist, Palantir Technologies, Palo Alto, CA, USA",undergrads
Peter Sudmant,2005 - 2006,"Doctoral Student, Genome Sciences, U. of Washington, USA",undergrads
"Shao-shan (Carol) Huang, PhD",2004 - 2005,"Postdoctoral Fellow, Salk Institute for Biological Studies, San Diego, USA",undergrads
Teresa Wang,2003,"Project Manager and Consultant, Accenture, Vancouver, Canada",undergrads
Jonathan Lim,2002 - 2013,"Programmer Analyst II, UBC, Canada",staff
Research Associates,,,
Magdalena Swanson,2006 - 2009,"Research & Grant Development Facilitator, Research Administration & Development, Fraser Health Authority, Canada",associates
"Shi Yuan (Steven) Jiang, MD",2007 - 2008,"Internal Medicine Resident, UBC Hospital, Vancouver, Canada",associates
Amy Ticoll,2006 - 2007,"Territory Manager, Janssen Pharmaceutical company of Johnson & Johnson, Canada",associates
Stuart Lithwick,2006 - 2007,"PhD Student, University of Toronto",associates
Staff,,,
Elena Herzog,2001 - 2002,"QA Specialist, Elsevier, Germany",staff
"Annette Hoglund, PhD",2001 - 2002,"Senior Director, Schrodinger, Sweden",staff
